Size C S Time
100 1026 221 0.00033758700000002806
100 1248 237 0.00037130900000004186
100 1176 290 0.000361045999999976
100 1017 221 0.0003203589999999923
100 1006 230 0.00032109300000005003
100 1234 182 0.00036507799999996315
100 1081 262 0.0003478499999999829
100 1121 244 0.0003218250000000533
100 1265 181 0.00035847999999999436
100 1416 263 0.0003834050000000033
200 2672 556 0.0008239910000000239
200 2425 625 0.0007250240000000185
200 2640 811 0.0008126280000000374
200 2962 588 0.0008346210000000354
200 2746 641 0.0007858699999999663
200 3025 770 0.0009335870000000135
200 2714 568 0.0008423180000000086
200 2371 635 0.0007231910000000119
200 2440 613 0.000725023999999963
200 2955 701 0.0008720080000000352
300 3894 1001 0.0012693429999999783
300 4174 1004 0.0012422180000000171
300 4449 1093 0.0012565129999999591
300 4928 1515 0.0015024640000000367
300 3965 1176 0.001172940999999983
300 3873 1201 0.0012451499999999727
300 3994 1003 0.0011685429999999664
300 4435 950 0.001370508000000048
300 4406 1113 0.0012693429999999228
300 4748 1199 0.0013899350000000643
400 6024 1347 0.0017212900000000975
400 5516 1594 0.001654580000000072
400 6688 1648 0.002920990000000012
400 6577 1744 0.001848115000000039
400 6088 1541 0.0018059620000000498
400 5603 1551 0.001798630999999995
400 5980 1556 0.0016952660000000286
400 6515 1795 0.001910427999999964
400 7288 2016 0.0022241889999999875
400 5796 1520 0.0016611779999999854
500 8229 1836 0.0022777050000000187
500 9141 2084 0.0025676420000000366
500 7479 2450 0.0022989649999999306
500 7936 2332 0.0023774050000000546
500 7880 1852 0.0023686079999999388
500 8277 2013 0.002438250999999947
500 7407 2168 0.0021926669999999815
500 8718 2554 0.0024188240000000416
500 7807 2221 0.0023484469999999202
500 8666 2280 0.0025166920000000426
600 9889 3006 0.0029719390000000345
600 10147 2521 0.0029902659999999637
600 9390 2862 0.0028311869999999573
600 8990 2526 0.0027417500000000983
600 9551 2563 0.0028597770000000633
600 9295 2583 0.002802595000000019
600 10149 3141 0.002959842999999962
600 10177 3119 0.0029844020000000526
600 9754 2599 0.0028381499999999837
600 9677 2558 0.002824589000000044
700 10591 3036 0.0031372499999999803
700 11478 3198 0.0033527790000000834
700 11798 3777 0.0033700060000000365
700 9992 3203 0.0029920989999999703
700 11648 3057 0.003679368999999988
700 11476 3146 0.0034029949999999642
700 10923 3173 0.003241715000000034
700 12062 3642 0.003522854000000075
700 10799 3069 0.003139448999999961
700 10655 3359 0.003191499000000042
800 13377 3920 0.003960874999999975
800 14520 4115 0.0041588089999999855
800 16470 4464 0.0051000939999999995
800 12981 3541 0.0037380170000000934
800 12847 3847 0.0037768700000000432
800 14404 4019 0.004103460999999919
800 15128 4445 0.004413557000000012
800 14775 3810 0.004429684999999961
800 14443 3626 0.004270970999999957
800 13331 3926 0.003987633000000157
900 14013 4376 0.004328518999999975
900 16482 4523 0.004689930999999925
900 16613 5085 0.00501542300000013
900 16397 4737 0.004527551999999879
900 14691 4330 0.004296996000000108
900 17566 4549 0.004925252999999907
900 14769 4134 0.004410625000000001
900 16569 4317 0.004816755000000006
900 16542 4862 0.004750776999999928
900 14699 4234 0.0042966300000000235
1000 17003 5025 0.004923054000000038
1000 16677 4637 0.00490289300000013
1000 19246 6400 0.005727250999999933
1000 17256 4836 0.00525221000000009
1000 16549 4691 0.004761039999999994
1000 18516 5445 0.0054611399999999755
1000 16404 4830 0.004748943999999922
1000 16676 4771 0.004677102000000044
1000 17695 4968 0.005083598999999994
1000 17108 5207 0.00497327000000003
1100 19114 5219 0.005434382000000015
1100 20223 5764 0.005535914999999836
1100 18165 6268 0.005425217999999843
1100 19388 5967 0.005617288000000054
1100 20195 5923 0.005733116000000038
1100 19419 5799 0.005628283999999928
1100 20705 5737 0.005886698000000079
1100 17015 5146 0.005022752999999991
1100 23415 7009 0.006524117000000107
1100 18098 5367 0.005396261999999874
1200 21082 6298 0.0060340479999998475
1200 20449 6746 0.006151709000000061
1200 21931 6030 0.006279633000000118
1200 21639 6642 0.006321418999999828
1200 20891 5806 0.006139246999999903
1200 21609 6004 0.006228316000000067
1200 22691 6429 0.0064416459999998565
1200 21236 6592 0.0061982599999999
1200 22938 6503 0.006380065000000101
1200 21847 6650 0.00630309200000001
1300 23594 6791 0.006836779999999987
1300 21221 6334 0.006289530000000099
1300 24693 7046 0.007147975999999945
1300 23936 6705 0.006944543999999997
1300 22685 7042 0.006782531000000036
1300 22047 7585 0.006917053000000006
1300 25705 7344 0.007369734999999933
1300 23921 7225 0.006981198000000077
1300 27917 8197 0.007764137000000115
1300 23405 7101 0.00679059500000001
1400 25771 7170 0.007163003999999917
1400 23682 7589 0.007429114999999875
1400 25614 7781 0.007840744000000122
1400 25175 7588 0.00724987499999985
1400 24732 7946 0.007370834999999687
1400 24858 8175 0.007228248999999742
1400 26948 7715 0.00784624200000028
1400 26043 7901 0.007487028999999978
1400 26463 7777 0.00739282699999988
1400 29317 9179 0.008216086000000011
1500 26284 7868 0.00779639199999993
1500 27486 8623 0.008016684999999857
1500 32331 10015 0.008959436000000043
1500 28586 8225 0.008193726000000012
1500 27925 8462 0.007951806999999977
1500 27121 7846 0.007673966000000032
1500 27247 8588 0.007835245999999962
1500 25885 8412 0.007729314000000098
1500 29851 8716 0.008467900999999944
1500 27166 7895 0.007837079000000191
1600 30436 8798 0.009005253999999852
1600 28884 9512 0.008461302999999809
1600 31840 9621 0.00938939300000019
1600 30568 9018 0.00873731099999997
1600 29546 8807 0.008425380999999899
1600 28887 9161 0.00827583200000026
1600 28370 8414 0.008210219999999602
1600 29848 8778 0.008703589000000012
1600 32441 9761 0.009287494000000063
1600 29151 8622 0.0084547060000002
1700 32995 10126 0.009643406999999993
1700 32714 9657 0.009435577000000084
1700 32833 9521 0.00924167599999981
1700 34419 10653 0.009722581000000119
1700 31589 9342 0.00897373200000029
1700 31122 9513 0.008997191000000182
1700 29632 9030 0.00857603100000004
1700 33078 9587 0.009330744999999752
1700 30396 10469 0.009062802000000314
1700 34417 10337 0.010322614000000119
1800 34223 10342 0.010167932000000324
1800 33191 10335 0.009555436999999944
1800 35022 10566 0.010290358000000221
1800 33755 10004 0.009677863000000286
1800 33406 10923 0.010025712999999659
1800 32082 10105 0.009523181000000047
1800 33415 10382 0.009647073000000006
1800 35710 11001 0.0103775960000001
1800 35365 10685 0.009987226000000238
1800 33770 10513 0.00960088800000003
1900 33636 9983 0.009603087999999982
1900 37196 11369 0.010778595000000113
1900 32869 10548 0.009806154000000067
1900 36001 10435 0.010083260000000038
1900 36826 10930 0.010561601000000032
1900 37035 10889 0.010399955000000016
1900 38091 11077 0.010620980999999752
1900 36134 10938 0.010469231000000079
1900 39468 11717 0.011067798000000018
1900 38949 10852 0.010659833999999702
2000 35200 10904 0.010287058999999932
2000 36106 10449 0.010407652000000045
2000 37657 13103 0.010702352999999665
2000 36354 12025 0.011058268000000204
2000 36408 12093 0.010986058000000298
2000 36380 11359 0.0103834599999999
2000 39217 12710 0.011144038999999939
2000 37241 11084 0.010653968999999819
2000 38676 12501 0.011527077000000219
2000 40998 12710 0.011763865000000706
2100 39256 12451 0.011805284000000249
2100 42824 13010 0.012045737000000223
2100 42794 12728 0.012309649000000533
2100 39449 12310 0.011230910000000094
2100 43626 13105 0.012767829000000397
2100 40318 12265 0.011762399000000201
2100 39217 12866 0.011149536999999654
2100 40009 12556 0.01130715100000046
2100 42980 12488 0.012009082999999698
2100 39679 11811 0.011438007999999833
2200 46084 13520 0.013040538000000268
2200 42211 12282 0.012106217000000363
2200 40315 12922 0.011993321000000279
