Size C S Time
100 845 146 0.0003221919999999989
200 2113 328 0.0008423180000000086
300 3364 553 0.001176605999999969
400 4894 804 0.0017271560000000075
500 6406 992 0.0027893999999999974
600 8151 1242 0.0027710729999999573
700 9935 1456 0.003363408000000012
800 10686 1739 0.0039106590000000385
900 12443 1978 0.004320455000000001
1000 14629 2188 0.005115121999999972
1100 15937 2495 0.00544867800000004
1200 17630 2753 0.006038079999999946
1300 19619 2996 0.006502125000000025
1400 22091 3193 0.007403457000000002
1500 24624 3456 0.008514084999999949
1600 25367 3811 0.00850198999999996
1700 28418 4044 0.009732843999999963
1800 30665 4311 0.010206419000000078
1900 31353 4622 0.010547305000000007
2000 34202 4842 0.011898019999999954
2100 36342 5123 0.012137005999999895
2200 35003 5458 0.011847803999999962
2300 38723 5712 0.013238105
2400 40063 5992 0.014370726
2500 42019 6310 0.014423142999999916
2600 45970 6371 0.015492351000000015
2700 46046 6889 0.015734636999999996
2800 49981 7059 0.016802379000000034
2900 51849 7455 0.017496980999999856
3000 52783 7723 0.017884784000000042
3100 53693 8090 0.017986317000000085
3200 58114 8255 0.01929817800000011
3300 56632 8631 0.019106108999999982
3400 61045 8772 0.02051803699999999
3500 63986 9162 0.021730930999999787
3600 62752 9526 0.022040295000000043
3700 65429 9832 0.02195012399999996
3800 72497 9952 0.024424296999999928
3900 68292 10581 0.02320883600000001
4000 70420 10718 0.023824630999999874
4100 73373 11069 0.025233258999999952
4200 74183 11325 0.025299604000000198
4300 80421 11495 0.026798035999999748
4400 87722 11770 0.028994733999999855
4500 84398 12145 0.028380406000000136
4600 87934 12317 0.029482605000000106
4700 91800 12570 0.030370741000000034
4800 87235 13208 0.029479672999999984
4900 92731 13355 0.03160709400000039
5000 94829 13593 0.03140109599999974
5100 98151 13875 0.03292995199999993
5200 102278 14170 0.03387930100000025
5300 100598 14643 0.033560774000000126
5400 98832 15127 0.03331042399999973
5500 109375 15124 0.036121083999999914
5600 106532 15544 0.035388363000000034
5700 108707 15856 0.0362057560000002
5800 109130 16270 0.036538578000000044
5900 118524 16234 0.03953507599999995
6000 118733 16727 0.03916046700000031
6100 119138 17084 0.0402278439999999
6200 116190 17529 0.039649070999999925
6300 120268 17642 0.04060025199999995
6400 129141 18101 0.04261990999999998
6500 133857 18057 0.04399921600000045
6600 125257 18734 0.04226546300000056
6700 128108 19077 0.04504533199999994
6800 134741 19220 0.04545439500000015
6900 149328 19174 0.04864222899999948
7000 136981 19817 0.04655879299999999
7100 141088 20050 0.04674573099999968
7200 146128 20064 0.04859201199999941
7300 145948 20664 0.048774918000000334
7400 152987 21028 0.05024365999999958
7500 145178 21496 0.04879581100000063
7600 152254 21492 0.051620399000000816
7700 151240 22033 0.05229520700000023
7800 171144 22035 0.05599766899999992
7900 162271 22755 0.054143688999999995
8000 165077 22782 0.05436068299999963
8100 161633 23365 0.053794006000000394
8200 167613 23489 0.05549110499999976
8300 165015 24204 0.05526091500000074
8400 173800 24236 0.057570142000000324
8500 173623 24513 0.05764565099999963
8600 173690 24891 0.06082542099999966
8700 181818 25004 0.06207533600000037
8800 183961 25433 0.062330083999999175
8900 191506 25273 0.06351951999999983
9000 190770 26009 0.06350155899999876
9100 186331 26515 0.06220289300000026
9200 185748 26842 0.062217554000000064
9300 194094 26937 0.06416646999999998
9400 206781 26979 0.06849242300000036
9500 194723 27852 0.06550545500000027
9600 194480 28122 0.06507513200000048
9700 210563 28246 0.06975700000000096
9800 210837 28457 0.06990105100000044
9900 207810 29177 0.06941794599999973
10000 215670 28908 0.07123343900000023
