Size C S Time
100 2715 97 0.0013045299999999704
200 11582 190 0.0055905299999999825
300 22915 292 0.011030776000000075
400 39885 396 0.01884256399999995
500 60941 494 0.028587871000000042
600 91309 593 0.042727675000000076
700 121402 693 0.05729889999999993
800 155769 794 0.07468481800000004
900 205096 893 0.09669139000000004
1000 254123 990 0.12091518700000004
1100 301570 1090 0.1434297900000001
1200 379683 1195 0.18016813399999987
1300 431399 1294 0.205530051
1400 494842 1394 0.23658476200000012
1500 575039 1491 0.275697579
1600 646286 1592 0.3089548550000001
1700 719587 1694 0.34875860700000016
1800 822799 1793 0.3988296250000003
1900 932863 1890 0.4561868050000002
2000 1008117 1994 0.4952567370000005
2100 1100722 2090 0.5352470599999997
2200 1175193 2192 0.5710408199999994
2300 1303532 2294 0.6321532449999996
2400 1426961 2393 0.6849513509999996
2500 1570773 2493 0.7531263460000002
2600 1679392 2593 0.8058680040000006
2700 1802900 2695 0.8650296809999993
2800 1968940 2792 0.9447947990000003
2900 2077134 2893 0.9997052980000003
3000 2245172 2991 1.0731552299999993
3100 2381666 3093 1.1399608170000004
3200 2559169 3192 1.229123758
3300 2702468 3290 1.2996754250000002
3400 2818517 3392 1.348970469000001
3500 3061961 3491 1.4731625600000022
3600 3248367 3591 1.5591094450000007
3700 3454635 3690 1.6552187630000006
3800 3593249 3791 1.727597284999998
3900 3798830 3892 1.8481998100000006
4000 3956659 3994 1.948013790000001
4100 4239711 4088 2.058190702000001
4200 4436586 4192 2.1654748490000024
4300 4645681 4290 2.282392139999999
4400 4849854 4390 2.4402487369999974
4500 5024568 4494 2.457950982
4600 5280247 4588 2.6015728409999994
4700 5479283 4692 2.6879482149999987
4800 5748546 4795 2.7604755540000028
4900 6035995 4891 2.915621558000005
5000 6234058 4991 2.988681118999999
5100 6549051 5086 3.1657823789999995
5200 6812632 5185 3.2987341400000005
5300 6996309 5295 3.3771023589999984
5400 7234114 5389 3.4857661779999916
5500 7613280 5490 3.660719856
5600 7780199 5589 3.769284340999988
5700 7935339 5688 3.8393796610000095
5800 8413504 5792 4.062845078999999
5900 8771026 5891 4.236380596999993
6000 8885191 5989 4.2889217559999935
6100 9442943 6095 4.566426397000001
6200 9626565 6193 4.694630313000005
6300 9820277 6296 4.767641857000001
6400 10203797 6386 4.935849292
6500 10357314 6490 5.0059409459999955
6600 11055640 6595 5.3418785749999955
6700 11361204 6692 5.479582579999999
6800 11579261 6791 5.582526110999993
6900 11961900 6893 5.762106674999984
7000 12181681 6984 5.919189863999975
7100 12681111 7093 6.117226653999978
7200 13023304 7188 6.3185264199999835
7300 13318391 7292 6.456802965999998
7400 13541181 7394 6.586094418000016
7500 14038053 7489 6.778523084
7600 14413004 7590 6.978438046000008
7700 14881366 7691 7.194268349999987
7800 15221023 7789 7.417511643000012
7900 15760412 7891 7.645442666000008
8000 16013995 7991 7.7410512849999975
8100 16451752 8093 7.9339029429999925
8200 16910007 8187 8.169570612000001
8300 17160722 8290 8.34676057499999
8400 17542275 8390 8.569075778000013
8500 17977126 8491 8.777326318000007
8600 18410069 8593 8.983976526999982
8700 19163063 8686 9.604923053999983
8800 19537860 8785 9.586013412
8900 19943013 8888 9.693351806999999
9000 20273537 8990 10.025856017000024
9100 20868835 9091 11.234068804000003
9200 21283402 9191 10.623878146000038
9300 21749806 9294 10.86678396100001
9400 22165373 9393 10.831698363999976
9500 22712786 9490 11.013683090000029
9600 23148596 9588 11.266675097000018
9700 23563831 9689 11.598904032999997
9800 23938877 9792 11.855515663000006
9900 24260758 9892 11.820285280999997
10000 25273027 9994 12.369865679999975
