Size C S Time
100 818 152 0.0003097289999999808
200 1943 329 0.0006462170000000045
300 3603 534 0.0011766069999999962
400 4892 764 0.0032534450000000215
500 6831 952 0.0023638429999999766
600 7552 1242 0.002669907000000027
700 9127 1484 0.0031951639999999726
800 11083 1670 0.003822321999999989
900 13667 1939 0.004706792000000015
1000 14378 2223 0.0050843329999999964
1100 17242 2437 0.006093061999999927
1200 19633 2677 0.006814788000000016
1300 19672 3003 0.006768602999999929
1400 22920 3229 0.007709520999999997
1500 22656 3529 0.007965369
1600 25358 3821 0.008687827000000037
1700 26290 4071 0.00913867700000004
1800 29634 4354 0.010034144000000023
1900 30028 4655 0.010326645000000023
2000 32639 4973 0.011336107999999956
2100 37666 5076 0.012907482999999997
2200 37120 5448 0.012431341999999956
2300 40026 5627 0.013387655000000054
2400 40357 6003 0.013966062000000057
2500 42784 6210 0.01450304800000013
2600 43772 6615 0.014748633000000178
2700 49476 6732 0.016856260999999817
2800 47649 7208 0.01658795199999985
2900 50992 7558 0.017563691999999964
3000 51370 7745 0.01795846000000001
3100 54155 8009 0.01826562300000001
3200 58464 8189 0.01960754100000006
3300 58804 8572 0.021216303000000103
3400 61864 8731 0.02068151600000001
3500 62052 9248 0.02206705100000006
3600 63897 9423 0.024919864000000125
3700 66202 9823 0.022366152000000028
3800 71635 9997 0.02498510899999995
3900 71887 10257 0.02481686500000002
4000 72333 10590 0.025186342000000028
4100 75637 11035 0.02704398699999988
4200 76586 11175 0.026888939
4300 81000 11473 0.0273438210000001
4400 83087 11797 0.02900133199999999
4500 84509 12102 0.028539486999999752
4600 92790 12245 0.03298236699999979
4700 90963 12640 0.030267009000000122
4800 92494 12957 0.03313704900000003
4900 102300 13054 0.03362015399999985
5000 94216 13774 0.031540016999999754
5100 96770 13911 0.03427150199999973
5200 98294 14298 0.05064612600000018
5300 102116 14476 0.036073067000000236
5400 112452 14465 0.03846256799999992
5500 102748 15288 0.03445807399999978
5600 108726 15373 0.03714484200000001
5700 109620 15901 0.03717892999999961
5800 107323 16280 0.04276909400000006
5900 113667 16475 0.0400247789999999
6000 116537 16576 0.04672703700000014
6100 119070 17005 0.04106832899999979
6200 120267 17438 0.04120028500000039
6300 124925 17517 0.06955540000000049
6400 130847 17829 0.04553723500000029
6500 135250 17912 0.04853886399999929
6600 129586 18701 0.04455489700000026
6700 129430 18931 0.04473413700000073
6800 142533 18970 0.10002657500000023
6900 134571 19698 0.04558525200000041
7000 142368 19681 0.04840141000000031
7100 148619 19648 0.05110210600000009
7200 144719 20515 0.04857625100000007
7300 145962 20531 0.05316538299999962
7400 142988 21443 0.04824123000000036
7500 148235 21329 0.04948931300000048
7600 149051 21839 0.055687938999999353
7700 148614 22288 0.052861518000000274
7800 158741 22187 0.05339410599999983
7900 161640 22575 0.05640160000000005
8000 160534 23222 0.06421155499999998
8100 173560 23121 0.06124328099999943
8200 177598 23203 0.059360711000000066
8300 167089 24228 0.056883972000000504
8400 167818 24380 0.05808037200000005
8500 174702 24466 0.06058056900000075
8600 172919 25133 0.05828783599999987
8700 172759 25455 0.05872549000000049
8800 186614 25315 0.06364817600000094
8900 180963 25990 0.06069822999999985
9000 181646 26305 0.06134701199999881
9100 187622 26418 0.06304887699999995
9200 190440 26714 0.06344254499999913
9300 182917 27595 0.06389266100000057
9400 192938 27428 0.06626493399999944
9500 192735 27894 0.0647027229999999
9600 203453 27933 0.06978925599999997
9700 207735 28469 0.06949895300000009
9800 198408 28872 0.06659628999999967
9900 205001 29001 0.07004473699999991
10000 207677 29317 0.06923870699999846
