Size C S Time
100 527 250 0.0007910019999999851
200 1282 624 0.0016934339999999937
300 2098 1030 0.0027347850000000173
400 2961 1436 0.003812425000000008
500 3848 1923 0.0049978280000000375
600 4780 2302 0.006242979000000037
700 5765 2758 0.007437911999999991
800 6745 3310 0.008837011000000006
900 7693 3763 0.010082161000000034
1000 8703 4322 0.011086124999999947
1100 9742 4795 0.012601052000000057
1200 10773 5234 0.013915111999999952
1300 11801 5784 0.01520241500000008
1400 12879 6272 0.01657878800000001
1500 13955 6846 0.017789849999999996
1600 15056 7390 0.01909767799999995
1700 16094 7898 0.020445826999999972
1800 17203 8488 0.022080613999999943
1900 18302 9039 0.02432569699999998
2000 19442 9624 0.024624796000000004
2100 20575 10240 0.026089507000000012
2200 21720 10650 0.027631922999999947
2300 22835 11229 0.028896500999999963
2400 23876 11755 0.030997897999999857
2500 25145 12356 0.03191425800000003
2600 26304 12835 0.03413954699999988
2700 27426 13356 0.03642348299999987
2800 28589 14009 0.03652978100000004
2900 29712 14537 0.03856593300000011
3000 30927 15138 0.03876606599999999
3100 32111 15765 0.04065999900000006
3200 33260 16342 0.04227682500000007
3300 34431 16888 0.043498883000000044
3400 35646 17458 0.04514393300000008
3500 36840 18043 0.046276920999999804
3600 38004 18652 0.048095711999999846
3700 39210 19253 0.04970264099999966
3800 40497 19955 0.05120877100000021
3900 41640 20533 0.05311553300000016
4000 42789 21219 0.053975444999999844
4100 44038 21990 0.055493671000000244
4200 45261 22491 0.056956181999999966
4300 46550 22965 0.05865547999999965
4400 47742 23455 0.06324351200000011
4500 48997 24156 0.06219592900000004
4600 50200 24704 0.06379515999999974
4700 51449 25175 0.06656146899999982
4800 52766 25824 0.06662634700000014
4900 53992 26422 0.06790448600000021
5000 55256 26987 0.06895390200000007
5100 56448 27732 0.07065649900000004
5200 57682 28284 0.07310208100000004
5300 58946 28810 0.07473613399999968
5400 60301 29489 0.07635186100000002
5500 61440 30090 0.07722753399999949
5600 62804 30740 0.07863982800000002
5700 64008 31412 0.08071153500000072
5800 65281 31991 0.08233385900000023
5900 66588 32668 0.08360283500000065
6000 67801 33396 0.08456684500000033
6100 69072 34022 0.08730932799999991
6200 70461 34813 0.08785364599999923
6300 71752 35287 0.08907203899999949
6400 73073 35961 0.09157883399999989
6500 74192 36434 0.09358163099999928
6600 75560 37182 0.09661368300000017
6700 76799 37748 0.09771587999999998
6800 78063 38277 0.09850285100000011
6900 79435 38983 0.09945806399999935
7000 80577 39666 0.10094476699999966
7100 82007 40354 0.10452956800000024
7200 83302 41003 0.10405672699999968
7300 84520 41653 0.105994645
7400 85876 42337 0.10794649099999987
7500 87117 42893 0.10925138899999975
7600 88372 43637 0.11095471900000042
7700 89739 44350 0.1119396229999996
7800 91111 45127 0.11258510700000102
7900 92383 45758 0.11431152900000008
8000 93645 46613 0.11676920699999904
8100 94977 47300 0.12016670499999904
8200 96248 48014 0.12168016500000078
8300 97581 48589 0.1219957590000007
8400 99011 49089 0.12339595699999961
8500 100204 49556 0.12463524200000009
8600 101500 50169 0.12706689600000054
8700 102896 50841 0.12975622999999992
8800 104366 51464 0.13143646800000042
8900 105674 52037 0.131883650999999
9000 106924 52775 0.13655122399999975
9100 108436 53316 0.13609670900000026
9200 109652 53972 0.1367982750000003
9300 111011 54691 0.13850527000000135
9400 112379 55165 0.14268643800000014
9500 113791 55830 0.1436717079999994
9600 115109 56586 0.14385608000000083
9700 116436 57151 0.14451879099999942
9800 117660 57704 0.14728619899999984
9900 119135 58462 0.14915813999999905
10000 120342 59163 0.15131525099999976
