Size C S Time
100 927 164 0.0006542810000000343
100 883 170 0.000568510000000022
100 1031 162 0.0006502489999999916
100 996 159 0.0006326550000000375
100 908 157 0.0005791390000000063
100 848 168 0.0005494499999999514
100 924 173 0.000571808000000007
100 820 167 0.0005424849999999815
100 853 169 0.0005787729999999769
100 802 167 0.0005245249999999979
200 2192 369 0.0013730739999999741
200 1995 387 0.0012803390000000747
200 2182 368 0.0013793060000000246
200 2174 378 0.001344850000000064
200 2047 370 0.0013356870000000853
200 1994 372 0.0012887690000000784
200 2249 379 0.0013837039999999856
200 1997 367 0.001304897000000027
200 2102 379 0.0013426509999999725
200 2072 366 0.0013415509999999964
300 3868 566 0.0023737390000000413
300 3331 599 0.0020720739999999793
300 3402 582 0.002126687999999932
300 3606 594 0.002323155999999993
300 3687 618 0.002272940000000001
300 4057 589 0.0025427160000000004
300 3547 602 0.0021648090000000453
300 3975 598 0.002430553999999918
300 3541 614 0.002237385000000036
300 3325 595 0.002090033999999963
400 5422 798 0.0033916320000000333
400 5244 818 0.0033300529999999995
400 4988 854 0.00320396200000006
400 4825 862 0.00313358500000005
400 5115 822 0.0032633420000000024
400 5156 829 0.0033351849999999628
400 5284 837 0.003407394000000008
400 5241 819 0.0032776370000000554
400 4852 852 0.003292665000000028
400 5301 826 0.0033366509999999128
500 6799 1071 0.004305426999999917
500 6309 1096 0.004128018999999927
500 6158 1089 0.003949145999999959
500 7414 1064 0.004603426999999938
500 6354 1071 0.004034183999999996
500 6405 1054 0.004490530999999964
500 6448 1103 0.004133151000000002
500 6768 1061 0.00435490999999999
500 6423 1097 0.004038947999999931
500 6819 1082 0.004234682999999961
600 7882 1332 0.005052076999999988
600 8682 1297 0.005343479999999956
600 8034 1314 0.004990131000000009
600 7930 1347 0.005072237000000035
600 7932 1348 0.005030817999999937
600 8431 1330 0.005281167000000031
600 8439 1307 0.005206390999999977
600 8358 1312 0.005210424000000047
600 8346 1303 0.005269803999999989
600 8468 1278 0.005328085000000038
700 9522 1583 0.006115054000000009
700 10411 1608 0.006608422999999974
700 10227 1630 0.006483797999999985
700 10287 1566 0.006495527000000001
700 9448 1582 0.005906856999999932
700 9914 1582 0.006289163000000042
700 10077 1581 0.006375301000000055
700 11021 1515 0.006868668999999938
700 9522 1592 0.005960739999999909
700 9240 1577 0.005911256000000087
800 11789 1842 0.007304123000000162
800 11281 1865 0.007262337000000008
800 12245 1825 0.007719417999999978
800 12735 1817 0.007948875000000077
800 10738 1872 0.006817719000000055
800 10875 1839 0.006801225000000022
800 11143 1875 0.006966535999999968
800 12018 1838 0.00765124000000017
800 11478 1859 0.007149807999999869
800 12518 1823 0.007764502999999978
900 12985 2153 0.008346207999999855
900 12645 2092 0.008114551999999886
900 13324 2097 0.008412552999999878
900 12828 2079 0.008188960999999884
900 13726 2097 0.00877762999999998
900 12575 2157 0.007878132000000093
900 12560 2138 0.007965735000000196
900 12361 2162 0.007958770999999976
900 13143 2093 0.008247241000000072
900 12797 2133 0.008035012000000119
1000 14666 2382 0.00920428800000006
1000 14190 2411 0.008870366000000018
1000 14204 2411 0.017319572999999977
1000 15749 2346 0.012667762999999832
1000 14845 2368 0.00953454400000009
1000 15196 2380 0.010013982999999893
1000 14080 2436 0.010149238999999977
1000 15411 2372 0.011431776000000005
1000 14887 2378 0.009407718999999926
1000 15097 2393 0.009643407999999853
1100 15567 2662 0.012226078000000085
1100 15704 2673 0.0107452400000001
1100 17595 2642 0.012676925999999922
1100 15821 2697 0.011056069000000113
1100 17342 2611 0.01094463900000009
1100 17611 2595 0.01138229199999996
1100 17271 2632 0.010997788000000064
1100 17557 2615 0.01100731899999996
1100 16186 2652 0.010311618000000022
1100 16777 2609 0.010701987000000024
1200 18095 2897 0.011517546999999961
1200 18763 2971 0.01180748399999998
1200 18148 2919 0.011555667999999963
1200 18376 2951 0.011832041999999987
1200 19996 2889 0.012704416999999912
1200 17930 2935 0.011269030999999874
1200 18643 2882 0.01168982300000021
1200 18994 2946 0.011906816999999847
1200 18094 2953 0.011624578000000163
1200 18068 2899 0.011558234000000223
1300 19835 3191 0.01267252799999996
1300 19167 3273 0.012256499999999892
1300 20287 3213 0.013006081999999974
1300 19256 3235 0.01263917300000017
1300 20195 3236 0.013021844000000282
1300 21376 3162 0.014937037000000153
1300 20526 3186 0.013064362999999801
1300 19942 3195 0.023825731000000072
1300 20076 3177 0.01333597200000014
1300 20224 3219 0.01305556600000024
1400 21461 3501 0.014369626000000135
1400 21732 3548 0.014041935999999922
1400 22603 3452 0.014157398000000043
1400 24237 3511 0.015299183000000216
1400 22342 3475 0.014168760000000002
1400 21540 3492 0.01354087100000001
1400 22025 3449 0.01401627800000016
1400 22239 3481 0.014070892999999973
1400 21604 3482 0.013691520000000068
1400 22282 3568 0.014714544999999912
1500 23965 3766 0.015314943999999997
1500 22700 3850 0.014523574999999678
1500 24842 3803 0.016046565999999984
1500 23024 3785 0.014688886999999706
1500 23252 3812 0.014722607999999582
1500 24462 3744 0.015314578000000356
1500 24206 3728 0.015044433999999995
1500 24437 3802 0.015469626000000236
1500 23822 3746 0.01522587299999989
1500 23302 3752 0.014852732000000035
1600 25474 4147 0.01632294000000023
1600 25317 4058 0.016508777999999946
1600 25259 4046 0.016215175999999776
1600 25227 4096 0.016057929000000026
1600 25219 4083 0.015480620999999584
1600 25453 4069 0.016034102999999966
1600 25910 4049 0.01599634899999991
1600 24713 4117 0.015892250000000274
1600 25512 4058 0.016036301999999836
1600 25214 4068 0.016179621000000033
1700 27485 4325 0.017477554000000062
1700 27840 4361 0.017783251
1700 28529 4359 0.017812941999999943
1700 28099 4338 0.017825038000000237
1700 27805 4401 0.017481218999999992
1700 27446 4403 0.01749221599999995
1700 26571 4356 0.016709277999999994
1700 26794 4394 0.017295380999999832
1700 26750 4399 0.0167349360000002
1700 28451 4297 0.01773083600000014
1800 28878 4638 0.018275153999999905
1800 29969 4620 0.019060656999999814
1800 29278 4702 0.018509009000000187
1800 28402 4652 0.018002445000000034
1800 30497 4582 0.019776884000000106
1800 28983 4701 0.018468322999999565
1800 30702 4641 0.01922193700000019
1800 29090 4629 0.01819378099999991
1800 29028 4676 0.018312175000000153
1800 30406 4580 0.01893713199999958
1900 31250 4972 0.019645295000000118
1900 32519 4915 0.020680415000000174
1900 30864 4996 0.019560990000000444
1900 31490 4931 0.01972116999999951
1900 30560 4928 0.01957382000000063
1900 33875 4861 0.021304274000000234
1900 34227 4806 0.02208757799999983
1900 32413 4871 0.020460855999999694
1900 30700 4938 0.019253459999999833
1900 32067 4899 0.019995343999999804
2000 32572 5244 0.02081750299999996
2000 32598 5237 0.020555425000000405
2000 33496 5250 0.021236830000000317
2000 33660 5201 0.021294010000000085
2000 34387 5260 0.021784813000000014
2000 32907 5185 0.020969619000000606
2000 33438 5150 0.021223267999999962
2000 31477 5303 0.020082582999999765
2000 32965 5290 0.02087248499999994
2000 32482 5239 0.020667587000000154
2100 33057 5582 0.02087138500000041
2100 36056 5473 0.02272316600000046
2100 34309 5485 0.02125405700000016
2100 36524 5494 0.02308970999999982
2100 37640 5466 0.023709168999999974
2100 34308 5596 0.0218863460000005
2100 35545 5505 0.02271106899999964
2100 33889 5592 0.021868018000000156
2100 35420 5542 0.02254502499999944
2100 34904 5525 0.02263079700000059
2200 38330 5837 0.02449137400000012
2200 36308 5854 0.023174747999999745
2200 38257 5760 0.024213168000000174
2200 37761 5757 0.023792741000000284
2200 37089 5780 0.023430229999999774
2200 36229 5858 0.02298377799999951
2200 38204 5742 0.024035760000000295
2200 38650 5780 0.024212434000000727
2200 37848 5746 0.024157451999999857
2200 38465 5765 0.024334126999999484
2300 39559 6112 0.025161415999999548
2300 39909 6129 0.025534558999999568
2300 37834 6090 0.024075347000000136
2300 39008 6111 0.024705435999999636
2300 38767 6112 0.024569082000000186
2300 39968 6139 0.025148221000000248
2300 39658 6076 0.024942955999999405
2300 38880 6117 0.024602436999999533
2300 37995 6134 0.02401120199999962
2300 37487 6211 0.023685710000000526
2400 39616 6463 0.025118165000000303
2400 41883 6408 0.025959383000000003
2400 40190 6473 0.025745687999999767
2400 40533 6421 0.025564614999999513
2400 42986 6426 0.02798893800000002
2400 42639 6372 0.026546219999999288
2400 40727 6444 0.02562656100000016
2400 41935 6432 0.02656124799999926
2400 41768 6455 0.02629843700000034
2400 45038 6275 0.027929557000000216
2500 42434 6782 0.026894071000000075
2500 42080 6730 0.026748553000000008
2500 44751 6715 0.02825248300000016
2500 43326 6710 0.027149184999999854
2500 43695 6630 0.027322928000000246
2500 42969 6700 0.02713965500000004
2500 42377 6758 0.026844219999999197
2500 42837 6700 0.02844968399999992
2500 45342 6625 0.028241120000000564
