Size C S Time
100 908 160 0.0005307569999999373
200 2423 358 0.0014599509999999594
300 3260 619 0.0021626179999999495
400 5035 861 0.0030672520000000203
500 6635 1076 0.004885684000000001
600 8177 1334 0.0050187399999999105
700 10640 1550 0.0063474669999999955
800 11519 1883 0.007068095000000052
900 14420 2062 0.008735876000000031
1000 14189 2430 0.008626279999999986
1100 16534 2674 0.009794826000000034
1200 18915 2923 0.01138270100000005
1300 21191 3147 0.013208096999999919
1400 21812 3563 0.013155680999999975
1500 24502 3719 0.014790473999999998
1600 24525 4159 0.015082977000000053
1700 28614 4324 0.017595278000000047
1800 28933 4645 0.017261356000000005
1900 32246 4916 0.019637302999999995
2000 34271 5245 0.02079851899999996
2100 34449 5523 0.02090884999999998
2200 35579 5849 0.021439607000000027
2300 40194 6029 0.024448945000000055
2400 39912 6489 0.024356942000000048
2500 41618 6758 0.025617491999999853
2600 42679 7123 0.025905596000000086
2700 49071 7262 0.02953073000000006
2800 48773 7596 0.030169985999999982
2900 51885 7964 0.031610509000000064
3000 51922 8251 0.031320572000000046
3100 56883 8504 0.034205284
3200 56719 8823 0.034934709000000064
3300 58981 9237 0.03875704400000002
3400 59099 9540 0.04223812700000007
3500 63289 9802 0.03874091599999985
3600 64220 10079 0.04016311199999989
3700 67814 10354 0.06623402099999964
3800 66267 10953 0.0430797140000001
3900 69433 11172 0.04613413800000021
4000 72562 11374 0.06272398200000007
4100 79311 11451 0.05076800400000003
4200 77919 12005 0.04740275099999991
4300 85310 12039 0.052116891000000276
4400 88511 12407 0.05467611200000011
4500 86318 13007 0.05229539900000013
4600 85489 13419 0.05518634300000036
4700 89901 13542 0.05439533799999996
4800 88643 14037 0.05361056399999997
4900 90425 14354 0.05458007700000023
5000 94534 14628 0.05774079799999976
5100 102914 14556 0.06204917200000004
5200 101678 15085 0.06142494499999973
5300 102101 15536 0.06161518300000024
5400 100921 15995 0.06703089099999993
5500 104650 16350 0.06475904199999949
5600 110692 16335 0.06779147299999977
5700 107816 17005 0.07194296600000083
5800 111316 17315 0.06765621699999969
5900 113432 17516 0.06946365300000057
6000 113650 17965 0.0689178659999996
6100 130625 17739 0.07924198399999938
6200 122924 18314 0.07377019399999973
6300 122183 19010 0.07621248600000019
6400 127459 19282 0.07731322200000079
6500 123860 19560 0.07771092399999979
6600 134037 19881 0.08135072000000054
6700 132433 20412 0.08028077400000022
6800 131472 20613 0.0803086310000003
6900 136616 20898 0.08226708299999963
7000 142073 20847 0.0856455330000001
7100 139985 21667 0.08513750099999928
7200 140737 21824 0.08574816500000004
7300 148729 22187 0.09252558900000007
7400 152476 22381 0.09264215100000062
7500 145445 23080 0.08992018499999954
7600 155321 22831 0.09314175200000019
7700 164166 23124 0.09773969799999982
7800 164245 23640 0.09850907699999922
7900 163957 24107 0.10171084999999991
8000 158615 24714 0.09892730500000013
8100 166093 24818 0.10255463900000095
8200 167023 25331 0.10139928700000134
8300 166085 25633 0.1033991590000003
8400 168139 25893 0.10085826599999947
8500 185218 25724 0.111197412000001
8600 176177 26476 0.10601739300000013
8700 174219 26962 0.11210571199999997
8800 179694 27376 0.10842852799999925
8900 180076 27643 0.10814408900000139
9000 191745 27634 0.11610582199999975
9100 188662 28313 0.11311737700000002
9200 187912 28722 0.11463853999999962
9300 192182 28805 0.11807636999999893
9400 205212 29132 0.12098307399999975
9500 202583 29397 0.1247013120000009
9600 213925 29284 0.12875493700000007
9700 206158 30141 0.12404409500000035
9800 195499 30965 0.11898393600000112
9900 202232 31223 0.12329377700000066
10000 200568 31684 0.12167217999999913
