Size C S Time
100 871 164 0.0003309910000000027
200 2027 375 0.0007195289999999965
300 3526 604 0.0012279270000000175
400 4755 843 0.0016993040000000126
500 6464 1096 0.002264883999999967
600 8702 1332 0.0029221000000000386
700 10033 1588 0.003519569
800 11217 1818 0.00399021300000002
900 12570 2137 0.004657691999999991
1000 14560 2392 0.005216308000000058
1100 17266 2637 0.005951963999999976
1200 18802 2866 0.006466226999999991
1300 19856 3284 0.006869793999999985
1400 22627 3466 0.008082692000000002
1500 23468 3833 0.008148304999999967
1600 26088 4053 0.009183794999999995
1700 27263 4414 0.009390894000000038
1800 32128 4553 0.010962640000000023
1900 31056 4953 0.010836548999999973
2000 35479 5161 0.012068874000000007
2100 34929 5523 0.012030387000000031
2200 37472 5835 0.012880404999999984
2300 41041 6101 0.014009731999999997
2400 43823 6323 0.01509213999999992
2500 42481 6792 0.014744289000000022
2600 46017 6976 0.015694741000000123
2700 48240 7307 0.01663016400000017
2800 48982 7603 0.01679914199999999
2900 54788 7870 0.018540967000000075
3000 54125 8264 0.018994383000000115
3100 54711 8578 0.018982652999999905
3200 58110 8811 0.019987721000000125
3300 61347 9055 0.025502762999999984
3400 63840 9489 0.02227679700000018
3500 63528 9712 0.021971464000000163
3600 63555 10243 0.022037076000000155
3700 64567 10592 0.022399955999999888
3800 69757 10823 0.024285466000000033
3900 72157 11125 0.02482611999999995
4000 73361 11504 0.02539829699999996
4100 75627 11745 0.025937118999999953
4200 75117 12113 0.025877739000000233
4300 76252 12492 0.02644845000000018
4400 83765 12710 0.02845785199999984
4500 83094 12991 0.02874888899999961
4600 85771 13463 0.02939474200000003
4700 94451 13543 0.032717475999999746
4800 93990 13888 0.03185902599999979
4900 89411 14484 0.03097381999999982
5000 101663 14639 0.03421371499999992
5100 99333 15008 0.03377166099999984
5200 102432 14936 0.03471331599999994
5300 105843 15558 0.03587489799999988
5400 109934 15932 0.036960238999999895
5500 105755 16359 0.03631291999999986
5600 109325 16445 0.037237713999999755
5700 110721 16943 0.038256343000000026
5800 114984 17062 0.03907887100000007
5900 110878 17758 0.03820905899999971
6000 117209 17795 0.04017080999999978
6100 120561 18005 0.04118027599999996
6200 119114 18617 0.04084745299999959
6300 125035 18958 0.042812135999999335
6400 126823 19184 0.04370467399999978
6500 141804 19520 0.04758565699999995
6600 138623 19501 0.04683827099999949
6700 131673 20400 0.04499821299999951
6800 137724 20438 0.046784756000000094
6900 134195 21283 0.04630384799999998
7000 146734 20978 0.051064906000000576
7100 143296 21590 0.048846206000000336
7200 146724 21824 0.050073034000000405
7300 154999 21648 0.05232435599999974
7400 150351 22518 0.05091462199999963
7500 150044 22919 0.05103338300000004
7600 162317 23143 0.05462002999999971
7700 152242 23811 0.053258680999999974
7800 160032 24058 0.05481099999999994
7900 166675 24122 0.05672510000000042
8000 162187 24538 0.05927625599999953
8100 174564 24595 0.05996352799999993
8200 168393 25223 0.05915932799999979
8300 168851 25466 0.05862710400000015
8400 170025 25995 0.058738899999999816
8500 170368 26526 0.05894783099999934
8600 186775 26431 0.06415717399999998
8700 178523 27259 0.061749338000000265
8800 191009 26955 0.0665309220000001
8900 182795 27711 0.06216206900000021
9000 190435 27642 0.06484811300000004
9100 186215 28294 0.06364181200000019
9200 194830 28453 0.06691909399999929
9300 188329 29264 0.06428986399999914
9400 202716 29489 0.0685022040000014
9500 196226 29859 0.06677467499999956
9600 213479 29989 0.07135319400000029
9700 197932 30721 0.06802972700000076
9800 217958 30311 0.07338495499999986
9900 203232 31468 0.07055265900000052
10000 206460 31614 0.07467116299999965
