Size C S Time
100 0 0 0.0005131640000000104
200 0 0 0.0010058010000000284
300 0 0 0.0014573839999999505
400 0 0 0.0020273630000000598
500 0 0 0.002591843000000038
600 0 0 0.003956124999999977
700 0 0 0.003568686000000043
800 0 0 0.0039029749999999197
900 0 0 0.005531902999999949
1000 0 0 0.0051495959999999785
1100 0 0 0.005651030999999973
1200 0 0 0.006492984999999951
1300 0 0 0.006644368000000012
1400 0 0 0.007125276000000014
1500 0 0 0.008084159000000035
1600 0 0 0.00860831800000006
1700 0 0 0.008643140999999965
1800 0 0 0.009297423999999999
1900 0 0 0.010842412999999995
2000 0 0 0.010181165000000103
2100 0 0 0.013709897000000026
2200 0 0 0.01451739799999996
2300 0 0 0.011820355999999865
2400 0 0 0.012340849999999959
2500 0 0 0.01267880499999996
2600 0 0 0.013672509999999916
2700 0 0 0.014211697999999995
2800 0 0 0.01963180500000017
2900 0 0 0.01533002799999994
3000 0 0 0.015516965999999854
3100 0 0 0.016024266000000065
3200 0 0 0.016631996999999954
3300 0 0 0.016704574000000028
3400 0 0 0.01738561500000002
3500 0 0 0.02321038799999986
3600 0 0 0.02358353099999988
3700 0 0 0.01889834800000001
3800 0 0 0.019533570999999972
3900 0 0 0.025388034999999975
4000 0 0 0.026299265999999877
4100 0 0 0.026845417999999732
4200 0 0 0.022810121000000017
4300 0 0 0.02808800800000011
4400 0 0 0.022755871999999844
4500 0 0 0.023424083999999734
4600 0 0 0.023844877999999792
4700 0 0 0.024558907999999935
4800 0 0 0.024576503000000027
4900 0 0 0.032184886000000024
5000 0 0 0.02557093999999971
5100 0 0 0.026201765000000155
5200 0 0 0.02727867599999989
5300 0 0 0.035272296999999675
5400 0 0 0.027589505999999986
5500 0 0 0.030920671000000066
5600 0 0 0.03716953599999995
5700 0 0 0.03729855999999998
5800 0 0 0.030149092999999905
5900 0 0 0.03061643699999994
6000 0 0 0.03938567000000015
6100 0 0 0.04015908099999965
6200 0 0 0.040945321000000146
6300 0 0 0.041255417999999544
6400 0 0 0.043477416999999186
6500 0 0 0.04294555800000044
6600 0 0 0.03413563999999969
6700 0 0 0.03437499499999941
6800 0 0 0.044980984999999585
6900 0 0 0.045368791000000463
7000 0 0 0.04620781299999965
7100 0 0 0.03676120500000035
7200 0 0 0.03892382300000019
7300 0 0 0.038341748000000564
7400 0 0 0.03818523400000018
7500 0 0 0.03868373500000022
7600 0 0 0.05107333700000005
7700 0 0 0.040538455000000084
7800 0 0 0.051426320000000025
7900 0 0 0.04103622299999987
8000 0 0 0.05527944500000004
8100 0 0 0.04167254600000003
8200 0 0 0.042067683000000855
8300 0 0 0.054780942999999915
8400 0 0 0.05458337499999999
8500 0 0 0.04421307299999988
8600 0 0 0.04504183200000078
8700 0 0 0.05811540699999984
8800 0 0 0.057847461999999794
8900 0 0 0.05847315500000061
9000 0 0 0.04671511100000014
9100 0 0 0.06053827100000042
9200 0 0 0.062012516999999434
9300 0 0 0.061749704999998656
9400 0 0 0.049308053999999046
9500 0 0 0.049127713999999045
9600 0 0 0.05001035500000128
9700 0 0 0.05092231899999966
9800 0 0 0.05196844100000142
9900 0 0 0.06730836500000059
10000 0 0 0.05229100000000031
