Size C S Time
100 0 0 0.0029231989999999874
200 0 0 0.005865825999999963
300 0 0 0.008627013000000017
400 0 0 0.011502560999999967
500 0 0 0.01568814399999996
600 0 0 0.017520502999999965
700 0 0 0.020254565999999974
800 0 0 0.023207089000000014
900 0 0 0.026097665999999964
1000 0 0 0.02899007600000003
1100 0 0 0.031780586
1200 0 0 0.034900986999999994
1300 0 0 0.03747010300000009
1400 0 0 0.04093469100000002
1500 0 0 0.04336378799999996
1600 0 0 0.0464643950000001
1700 0 0 0.04968706200000006
1800 0 0 0.052223189
1900 0 0 0.05490630200000002
2000 0 0 0.059653798000000036
2100 0 0 0.06112401099999998
2200 0 0 0.06362495099999999
2300 0 0 0.06659836699999988
2400 0 0 0.06918911000000016
2500 0 0 0.07403263999999998
2600 0 0 0.07696500399999984
2700 0 0 0.08013782099999989
2800 0 0 0.08150393600000028
2900 0 0 0.08454149700000002
3000 0 0 0.08685549899999989
3100 0 0 0.08992641699999959
3200 0 0 0.09280819600000001
3300 0 0 0.09826532399999977
3400 0 0 0.09893060399999998
3500 0 0 0.10236806700000001
3600 0 0 0.10414654500000031
3700 0 0 0.11379805199999993
3800 0 0 0.1187438489999999
3900 0 0 0.11380061799999996
4000 0 0 0.11694227899999987
4100 0 0 0.1193941000000005
4200 0 0 0.12235835300000009
4300 0 0 0.12520970899999995
4400 0 0 0.1306716029999997
4500 0 0 0.13150549399999978
4600 0 0 0.133649417
4700 0 0 0.13659864200000005
4800 0 0 0.14050638299999996
4900 0 0 0.14612295799999941
5000 0 0 0.14625271400000006
5100 0 0 0.14845125400000025
5200 0 0 0.1521185410000001
5300 0 0 0.15416239800000042
5400 0 0 0.15831169199999984
5500 0 0 0.16151016699999943
5600 0 0 0.1625291630000003
5700 0 0 0.1672469689999998
5800 0 0 0.17080282600000007
5900 0 0 0.17202195700000011
6000 0 0 0.1776960780000003
6100 0 0 0.18023623800000088
6200 0 0 0.18519413199999946
6300 0 0 0.18871150100000023
6400 0 0 0.1886620170000004
6500 0 0 0.18882696300000035
6600 0 0 0.19344506899999914
6700 0 0 0.19735464200000052
6800 0 0 0.20039806899999846
6900 0 0 0.20218571000000019
7000 0 0 0.20375305899999852
7100 0 0 0.20801744800000144
7200 0 0 0.25090729199999906
7300 0 0 0.2187814200000009
7400 0 0 0.21571563400000038
7500 0 0 0.22160088699999925
7600 0 0 0.2223284800000016
7700 0 0 0.22451895499999885
7800 0 0 0.23155222799999997
7900 0 0 0.2317640910000005
8000 0 0 0.23647896499999987
8100 0 0 0.24105821699999908
8200 0 0 0.24245878600000026
8300 0 0 0.24426328900000094
8400 0 0 0.24626572799999913
8500 0 0 0.2517855339999997
8600 0 0 0.2525758060000012
8700 0 0 0.25693439800000206
8800 0 0 0.2575927130000011
8900 0 0 0.2636887289999983
9000 0 0 0.26655584799999943
9100 0 0 0.27086092400000084
9200 0 0 0.27023486399999896
9300 0 0 0.2785107260000004
9400 0 0 0.27638072999999963
9500 0 0 0.28121509800000055
9600 0 0 0.28501030900000046
9700 0 0 0.2844201710000007
9800 0 0 0.2880522689999978
9900 0 0 0.29025923900000095
10000 0 0 0.298027802
