Size C S Time
100 0 0 0.002834128999999963
200 0 0 0.0050832519999999826
300 0 0 0.007953301999999995
400 0 0 0.010375067000000016
500 0 0 0.012907162999999944
600 0 0 0.015589175999999982
700 0 0 0.01839801299999999
800 0 0 0.02030514899999991
900 0 0 0.023941280000000065
1000 0 0 0.026033521000000004
1100 0 0 0.028626463000000046
1200 0 0 0.030506107999999976
1300 0 0 0.03311187900000001
1400 0 0 0.03742281900000011
1500 0 0 0.0382838350000001
1600 0 0 0.04086358100000009
1700 0 0 0.04340777200000001
1800 0 0 0.04635663099999987
1900 0 0 0.0484961559999999
2000 0 0 0.05131635600000006
2100 0 0 0.05432202900000016
2200 0 0 0.055848690000000145
2300 0 0 0.05889724799999985
2400 0 0 0.060621843999999925
2500 0 0 0.06357949900000004
2600 0 0 0.06630843000000008
2700 0 0 0.07028141600000004
2800 0 0 0.07147158799999986
2900 0 0 0.07384203700000036
3000 0 0 0.07653064699999979
3100 0 0 0.0791415510000002
3200 0 0 0.08256105300000005
3300 0 0 0.08543916699999965
3400 0 0 0.08711574599999983
3500 0 0 0.09060818999999976
3600 0 0 0.09221365999999964
3700 0 0 0.09452216200000008
3800 0 0 0.09737315199999985
3900 0 0 0.09994116900000005
4000 0 0 0.10250148900000022
4100 0 0 0.10537117299999998
4200 0 0 0.10901353499999988
4300 0 0 0.10994895799999993
4400 0 0 0.11249974800000029
4500 0 0 0.11531701600000055
4600 0 0 0.11869729799999984
4700 0 0 0.12097830999999992
4800 0 0 0.12369771000000007
4900 0 0 0.12573276999999994
5000 0 0 0.12861381699999974
5100 0 0 0.13089336299999932
5200 0 0 0.13344195299999928
5300 0 0 0.13560713700000004
5400 0 0 0.13800214400000055
5500 0 0 0.1413860910000002
5600 0 0 0.14523848400000006
5700 0 0 0.1462230240000002
5800 0 0 0.15093496600000034
5900 0 0 0.15108451600000006
6000 0 0 0.1572567739999995
6100 0 0 0.15932995499999958
6200 0 0 0.16145995000000024
6300 0 0 0.1627688840000001
6400 0 0 0.16618105499999913
6500 0 0 0.16895103899999953
6600 0 0 0.16927359900000027
6700 0 0 0.17215867700000054
6800 0 0 0.17858055299999975
6900 0 0 0.17889944700000093
7000 0 0 0.18011381300000018
7100 0 0 0.1824072870000002
7200 0 0 0.18508636700000025
7300 0 0 0.1891590530000009
7400 0 0 0.19089134700000088
7500 0 0 0.19303050500000118
7600 0 0 0.198815325
7700 0 0 0.19822188799999907
7800 0 0 0.2003551820000009
7900 0 0 0.2029030400000007
8000 0 0 0.2080650980000005
8100 0 0 0.21153298499999984
8200 0 0 0.21184344899999985
8300 0 0 0.21520540300000057
8400 0 0 0.2232968919999987
8500 0 0 0.2203751589999996
8600 0 0 0.22624648299999883
8700 0 0 0.2362531729999997
8800 0 0 0.2261852710000003
8900 0 0 0.23097125399999996
9000 0 0 0.23283880299999993
9100 0 0 0.2350732640000004
9200 0 0 0.24085221800000056
9300 0 0 0.24135621799999996
9400 0 0 0.24378238200000268
9500 0 0 0.24719271999999748
9600 0 0 0.2509564080000004
9700 0 0 0.2525057960000012
9800 0 0 0.2586963820000001
9900 0 0 0.2563849460000007
10000 0 0 0.25878288599999877
